Medicine,Side Effect,Seriousness,Severity Score,Frequency,Active Ingredient,Alternatives
Adalimumab,Malaise,Serious,0.2,171,adalimumab-adbm,"adalimumab, methotrexate"
Adalimumab,Nausea,Serious,0,245,adalimumab-adbm,"adalimumab, methotrexate"
Adalimumab,Off label use,Non-Serious,0,177,adalimumab-adbm,"adalimumab, methotrexate"
Adalimumab,Pain,Serious,0.4,155,adalimumab-adbm,"adalimumab, methotrexate"
Adalimumab,Pneumonia,Serious,0.2,170,adalimumab-adbm,"adalimumab, methotrexate"
Adalimumab,Pyrexia,Serious,0.2,175,adalimumab-adbm,"adalimumab, methotrexate"
Adalimumab,Rash,Serious,0,156,adalimumab-adbm,"adalimumab, methotrexate"
Adalimumab,Vomiting,Serious,0,155,adalimumab-adbm,"adalimumab, methotrexate"
Albuterol,Asthenia,Serious,0.2,223,albuterol sulfate,"albuterol , ambroxol , ipratropium"
Albuterol,Diarrhoea,Non-Serious,0,347,albuterol sulfate,"albuterol , ambroxol , ipratropium"
Albuterol,Dizziness,Non-Serious,0,252,albuterol sulfate,"albuterol , ambroxol , ipratropium"
Albuterol,Drug ineffective,Serious,0,359,albuterol sulfate,"albuterol , ambroxol , ipratropium"
Albuterol,Dyspnoea,Non-Serious,0,433,albuterol sulfate,"albuterol , ambroxol , ipratropium"
Albuterol,Fall,Serious,0.4,220,albuterol sulfate,"albuterol , ambroxol , ipratropium"
Albuterol,Fatigue,Non-Serious,0,389,albuterol sulfate,"albuterol , ambroxol , ipratropium"
Albuterol,Headache,Non-Serious,0,230,albuterol sulfate,"albuterol , ambroxol , ipratropium"
Albuterol,Malaise,Non-Serious,0,210,albuterol sulfate,"albuterol , ambroxol , ipratropium"
Albuterol,Nausea,Non-Serious,0,311,albuterol sulfate,"albuterol , ambroxol , ipratropium"
Albuterol,Off label use,Non-Serious,0,226,albuterol sulfate,"albuterol , ambroxol , ipratropium"
Albuterol,Pain,Serious,0.2,286,albuterol sulfate,"albuterol , ambroxol , ipratropium"
Albuterol,Pneumonia,Serious,0,214,albuterol sulfate,"albuterol , ambroxol , ipratropium"
Albuterol,Type 2 diabetes mellitus,Serious,0,235,albuterol sulfate,"albuterol , ambroxol , ipratropium"
Albuterol,Vomiting,Serious,0.2,242,albuterol sulfate,"albuterol , ambroxol , ipratropium"
Alendronate,Arthralgia,Serious,0.2,408,alendronate sodium,"alendronate, cholecalciferol, alendronic acid "
Alendronate,Asthenia,Serious,0.2,421,alendronate sodium,"alendronate, cholecalciferol, alendronic acid "
Alendronate,Diarrhoea,Serious,0.6,562,alendronate sodium,"alendronate, cholecalciferol, alendronic acid "
Alendronate,Dizziness,Serious,0.2,488,alendronate sodium,"alendronate, cholecalciferol, alendronic acid "
Alendronate,Drug ineffective,Non-Serious,0,656,alendronate sodium,"alendronate, cholecalciferol, alendronic acid "
Alendronate,Dyspnoea,Serious,0,566,alendronate sodium,"alendronate, cholecalciferol, alendronic acid "
Alendronate,Fall,Serious,0.2,484,alendronate sodium,"alendronate, cholecalciferol, alendronic acid "
Alendronate,Fatigue,Serious,0.3,616,alendronate sodium,"alendronate, cholecalciferol, alendronic acid "
Alendronate,Headache,Serious,0.2,479,alendronate sodium,"alendronate, cholecalciferol, alendronic acid "
Alendronate,Nausea,Serious,0.6,667,alendronate sodium,"alendronate, cholecalciferol, alendronic acid "
Alendronate,Off label use,Serious,0.2,391,alendronate sodium,"alendronate, cholecalciferol, alendronic acid "
Alendronate,Pain,Serious,0.2,482,alendronate sodium,"alendronate, cholecalciferol, alendronic acid "
Alendronate,Pain in extremity,Serious,0.2,385,alendronate sodium,"alendronate, cholecalciferol, alendronic acid "
Alendronate,Pneumonia,Serious,0,463,alendronate sodium,"alendronate, cholecalciferol, alendronic acid "
Alendronate,Vomiting,Serious,0.2,423,alendronate sodium,"alendronate, cholecalciferol, alendronic acid "
Allopurinol,Arthralgia,Serious,0,418,allopurinol sodium,"allopurinol, lesinurad, benzbromarone"
Allopurinol,Asthenia,Serious,0,342,allopurinol sodium,"allopurinol, lesinurad, benzbromarone"
Allopurinol,Diarrhoea,Serious,0,602,allopurinol sodium,"allopurinol, lesinurad, benzbromarone"
Allopurinol,Dizziness,Serious,0,380,allopurinol sodium,"allopurinol, lesinurad, benzbromarone"
Allopurinol,Drug ineffective,Serious,0.2,593,allopurinol sodium,"allopurinol, lesinurad, benzbromarone"
Allopurinol,Dyspnoea,Non-Serious,0,532,allopurinol sodium,"allopurinol, lesinurad, benzbromarone"
Allopurinol,Fall,Serious,0.2,337,allopurinol sodium,"allopurinol, lesinurad, benzbromarone"
Allopurinol,Fatigue,Serious,0.4,601,allopurinol sodium,"allopurinol, lesinurad, benzbromarone"
Allopurinol,Headache,Serious,0,436,allopurinol sodium,"allopurinol, lesinurad, benzbromarone"
Allopurinol,Malaise,Non-Serious,0,338,allopurinol sodium,"allopurinol, lesinurad, benzbromarone"
Allopurinol,Nausea,Non-Serious,0,572,allopurinol sodium,"allopurinol, lesinurad, benzbromarone"
Allopurinol,Off label use,Serious,0,177,allopurinol sodium,"allopurinol, lesinurad, benzbromarone"
Allopurinol,Pain,Serious,0.3,400,allopurinol sodium,"allopurinol, lesinurad, benzbromarone"
Allopurinol,Pneumonia,Serious,0.5,362,allopurinol sodium,"allopurinol, lesinurad, benzbromarone"
Allopurinol,Pyrexia,Non-Serious,0,378,allopurinol sodium,"allopurinol, lesinurad, benzbromarone"
Allopurinol,Rash,Non-Serious,0,156,allopurinol sodium,"allopurinol, lesinurad, benzbromarone"
Allopurinol,Vomiting,Serious,0,422,allopurinol sodium,"allopurinol, lesinurad, benzbromarone"
Alprazolam,Cardiac disorder,Serious,0.2,140,alprazolam,"Alprazolam , sulpiride"
Alprazolam,Completed suicide,Serious,0.4,126,alprazolam,"Alprazolam , sulpiride"
Alprazolam,Diarrhoea,Non-Serious,0,182,alprazolam,"Alprazolam , sulpiride"
Alprazolam,Dizziness,Serious,0,171,alprazolam,"Alprazolam , sulpiride"
Alprazolam,Drug abuse,Serious,0.2,315,alprazolam,"Alprazolam , sulpiride"
Alprazolam,Drug ineffective,Non-Serious,0,188,alprazolam,"Alprazolam , sulpiride"
Alprazolam,Drug interaction,Serious,0,160,alprazolam,"Alprazolam , sulpiride"
Alprazolam,Dyspnoea,Serious,0.6,271,alprazolam,"Alprazolam , sulpiride"
Alprazolam,Exposure via ingestion,Serious,0.4,219,alprazolam,"Alprazolam , sulpiride"
Alprazolam,Fatigue,Serious,0.2,197,alprazolam,"Alprazolam , sulpiride"
Alprazolam,Headache,Non-Serious,0,182,alprazolam,"Alprazolam , sulpiride"
Alprazolam,Malaise,Serious,0.2,136,alprazolam,"Alprazolam , sulpiride"
Alprazolam,Nausea,Serious,0.2,196,alprazolam,"Alprazolam , sulpiride"
Alprazolam,Pain,Serious,0.6,143,alprazolam,"Alprazolam , sulpiride"
Alprazolam,Pneumonia,Serious,0.2,167,alprazolam,"Alprazolam , sulpiride"
Alprazolam,Poisoning,Serious,0.2,138,alprazolam,"Alprazolam , sulpiride"
Alprazolam,Toxicity to various agents,Serious,0.4,322,alprazolam,"Alprazolam , sulpiride"
Alprazolam,Vomiting,Non-Serious,0,148,alprazolam,"Alprazolam , sulpiride"
Amlodipine,Arthralgia,Serious,0,118,amlodipine besylate,"amlodipine , olmesartan , hydrochlorothiazide "
Amlodipine,Asthenia,Serious,0.6,131,amlodipine besylate,"amlodipine , olmesartan , hydrochlorothiazide "
Amlodipine,Cardiac failure congestive,Serious,0.2,338,amlodipine besylate,"amlodipine , olmesartan , hydrochlorothiazide "
Amlodipine,Cerebrovascular accident,Serious,0.2,250,amlodipine besylate,"amlodipine , olmesartan , hydrochlorothiazide "
Amlodipine,Diarrhoea,Serious,0,140,amlodipine besylate,"amlodipine , olmesartan , hydrochlorothiazide "
Amlodipine,Dizziness,Non-Serious,0,132,amlodipine besylate,"amlodipine , olmesartan , hydrochlorothiazide "
Amlodipine,Drug ineffective,Serious,0.2,202,amlodipine besylate,"amlodipine , olmesartan , hydrochlorothiazide "
Amlodipine,Dyspnoea,Serious,0.1,215,amlodipine besylate,"amlodipine , olmesartan , hydrochlorothiazide "
Amlodipine,Fatigue,Serious,0.1,175,amlodipine besylate,"amlodipine , olmesartan , hydrochlorothiazide "
Amlodipine,Headache,Non-Serious,0,157,amlodipine besylate,"amlodipine , olmesartan , hydrochlorothiazide "
Amlodipine,Hypertension,Serious,0,151,amlodipine besylate,"amlodipine , olmesartan , hydrochlorothiazide "
Amlodipine,Malaise,Non-Serious,0,120,amlodipine besylate,"amlodipine , olmesartan , hydrochlorothiazide "
Amlodipine,Myocardial infarction,Serious,0.2,316,amlodipine besylate,"amlodipine , olmesartan , hydrochlorothiazide "
Amlodipine,Nausea,Non-Serious,0,191,amlodipine besylate,"amlodipine , olmesartan , hydrochlorothiazide "
Amlodipine,Pain,Serious,0.2,160,amlodipine besylate,"amlodipine , olmesartan , hydrochlorothiazide "
Amoxicillin,Anxiety,Serious,0,470,amoxicillin anhydrous,"amoxicillin , claritomycin , omeprazole"
Amoxicillin,Asthenia,Non-Serious,0,465,amoxicillin anhydrous,"amoxicillin , claritomycin , omeprazole"
Amoxicillin,Diarrhoea,Serious,0.2,828,amoxicillin anhydrous,"amoxicillin , claritomycin , omeprazole"
Amoxicillin,Dizziness,Non-Serious,0,662,amoxicillin anhydrous,"amoxicillin , claritomycin , omeprazole"
Amoxicillin,Drug ineffective,Serious,0,998,amoxicillin anhydrous,"amoxicillin , claritomycin , omeprazole"
Amoxicillin,Dyspnoea,Serious,0.2,722,amoxicillin anhydrous,"amoxicillin , claritomycin , omeprazole"
Amoxicillin,Fatigue,Non-Serious,0,871,amoxicillin anhydrous,"amoxicillin , claritomycin , omeprazole"
Amoxicillin,Headache,Non-Serious,0,776,amoxicillin anhydrous,"amoxicillin , claritomycin , omeprazole"
Amoxicillin,Malaise,Serious,0,555,amoxicillin anhydrous,"amoxicillin , claritomycin , omeprazole"
Amoxicillin,Nausea,Serious,0.2,930,amoxicillin anhydrous,"amoxicillin , claritomycin , omeprazole"
Amoxicillin,Off label use,Serious,0.8,489,amoxicillin anhydrous,"amoxicillin , claritomycin , omeprazole"
Amoxicillin,Pain,Serious,0.2,720,amoxicillin anhydrous,"amoxicillin , claritomycin , omeprazole"
Amoxicillin,Pyrexia,Serious,0,515,amoxicillin anhydrous,"amoxicillin , claritomycin , omeprazole"
Amoxicillin,Rash,Serious,0.2,490,amoxicillin anhydrous,"amoxicillin , claritomycin , omeprazole"
Amoxicillin,Vomiting,Serious,0.2,615,amoxicillin anhydrous,"amoxicillin , claritomycin , omeprazole"
Amphetamine,Aggression,Serious,0.2,261,amphetamine aspartate,"amphetamine , dextroamphetamine , phenobarbital, amphetamine"
Amphetamine,Anxiety,Non-Serious,0,345,amphetamine aspartate,"amphetamine , dextroamphetamine , phenobarbital, amphetamine"
Amphetamine,Depression,Serious,0,309,amphetamine aspartate,"amphetamine , dextroamphetamine , phenobarbital, amphetamine"
Amphetamine,Dizziness,Non-Serious,0,314,amphetamine aspartate,"amphetamine , dextroamphetamine , phenobarbital, amphetamine"
Amphetamine,Drug ineffective,Serious,0,1009,amphetamine aspartate,"amphetamine , dextroamphetamine , phenobarbital, amphetamine"
Amphetamine,Dyskinesia,Serious,0,292,amphetamine aspartate,"amphetamine , dextroamphetamine , phenobarbital, amphetamine"
Amphetamine,Fall,Serious,0,323,amphetamine aspartate,"amphetamine , dextroamphetamine , phenobarbital, amphetamine"
Amphetamine,Fatigue,Serious,0,411,amphetamine aspartate,"amphetamine , dextroamphetamine , phenobarbital, amphetamine"
Amphetamine,Headache,Serious,0,409,amphetamine aspartate,"amphetamine , dextroamphetamine , phenobarbital, amphetamine"
Amphetamine,Insomnia,Serious,0,336,amphetamine aspartate,"amphetamine , dextroamphetamine , phenobarbital, amphetamine"
Amphetamine,Nausea,Non-Serious,0,387,amphetamine aspartate,"amphetamine , dextroamphetamine , phenobarbital, amphetamine"
Amphetamine,Product quality issue,Serious,0,266,amphetamine aspartate,"amphetamine , dextroamphetamine , phenobarbital, amphetamine"
Amphetamine,Product substitution issue,Non-Serious,0,522,amphetamine aspartate,"amphetamine , dextroamphetamine , phenobarbital, amphetamine"
Amphetamine,Somnolence,Serious,0,264,amphetamine aspartate,"amphetamine , dextroamphetamine , phenobarbital, amphetamine"
Amphetamine,Tremor,Serious,0,277,amphetamine aspartate,"amphetamine , dextroamphetamine , phenobarbital, amphetamine"
Atomoxetine,Aggression,Serious,0,261,atomoxetine hydrochloride,"atomoxetine, Amphetamine"
Atomoxetine,Anxiety,Serious,0,345,atomoxetine hydrochloride,"atomoxetine, Amphetamine"
Atomoxetine,Depression,Serious,0,309,atomoxetine hydrochloride,"atomoxetine, Amphetamine"
Atomoxetine,Dizziness,Serious,0.5,314,atomoxetine hydrochloride,"atomoxetine, Amphetamine"
Atomoxetine,Drug ineffective,Serious,0,1009,atomoxetine hydrochloride,"atomoxetine, Amphetamine"
Atomoxetine,Dyskinesia,Serious,0,292,atomoxetine hydrochloride,"atomoxetine, Amphetamine"
Atomoxetine,Fall,Serious,0,323,atomoxetine hydrochloride,"atomoxetine, Amphetamine"
Atomoxetine,Fatigue,Serious,0.2,411,atomoxetine hydrochloride,"atomoxetine, Amphetamine"
Atomoxetine,Headache,Serious,0.2,409,atomoxetine hydrochloride,"atomoxetine, Amphetamine"
Atomoxetine,Insomnia,Serious,0,336,atomoxetine hydrochloride,"atomoxetine, Amphetamine"
Atomoxetine,Nausea,Serious,0.2,387,atomoxetine hydrochloride,"atomoxetine, Amphetamine"
Atomoxetine,Product quality issue,Non-Serious,0,266,atomoxetine hydrochloride,"atomoxetine, Amphetamine"
Atomoxetine,Product substitution issue,Serious,0.1,522,atomoxetine hydrochloride,"atomoxetine, Amphetamine"
Atomoxetine,Somnolence,Serious,0,264,atomoxetine hydrochloride,"atomoxetine, Amphetamine"
Atomoxetine,Tremor,Serious,0,277,atomoxetine hydrochloride,"atomoxetine, Amphetamine"
Atorvastatin,Asthenia,Serious,0,223,atorvastatin calcium trihydrate,"amlodipine , atorvastatin , ezetimibe"
Atorvastatin,Diarrhoea,Non-Serious,0,347,atorvastatin calcium trihydrate,"amlodipine , atorvastatin , ezetimibe"
Atorvastatin,Dizziness,Serious,0.1,252,atorvastatin calcium trihydrate,"amlodipine , atorvastatin , ezetimibe"
Atorvastatin,Drug ineffective,Serious,0,359,atorvastatin calcium trihydrate,"amlodipine , atorvastatin , ezetimibe"
Atorvastatin,Dyspnoea,Serious,0.3,433,atorvastatin calcium trihydrate,"amlodipine , atorvastatin , ezetimibe"
Atorvastatin,Fall,Serious,0.2,220,atorvastatin calcium trihydrate,"amlodipine , atorvastatin , ezetimibe"
Atorvastatin,Fatigue,Serious,0.4,389,atorvastatin calcium trihydrate,"amlodipine , atorvastatin , ezetimibe"
Atorvastatin,Headache,Non-Serious,0,230,atorvastatin calcium trihydrate,"amlodipine , atorvastatin , ezetimibe"
Atorvastatin,Malaise,Non-Serious,0,210,atorvastatin calcium trihydrate,"amlodipine , atorvastatin , ezetimibe"
Atorvastatin,Nausea,Serious,0.2,311,atorvastatin calcium trihydrate,"amlodipine , atorvastatin , ezetimibe"
Atorvastatin,Off label use,Serious,0,226,atorvastatin calcium trihydrate,"amlodipine , atorvastatin , ezetimibe"
Atorvastatin,Pain,Serious,0,286,atorvastatin calcium trihydrate,"amlodipine , atorvastatin , ezetimibe"
Atorvastatin,Pneumonia,Non-Serious,0,214,atorvastatin calcium trihydrate,"amlodipine , atorvastatin , ezetimibe"
Atorvastatin,Type 2 diabetes mellitus,Serious,0,235,atorvastatin calcium trihydrate,"amlodipine , atorvastatin , ezetimibe"
Atorvastatin,Vomiting,Serious,0.1,242,atorvastatin calcium trihydrate,"amlodipine , atorvastatin , ezetimibe"
Baloxavir marboxil,Abdominal pain,Serious,2,137,baloxavir marboxil,"baloxavir marboxil, Zanamivir, Peramivir, Oseltamivir"
Baloxavir marboxil,Anxiety,Serious,1.8,87,baloxavir marboxil,"baloxavir marboxil, Zanamivir, Peramivir, Oseltamivir"
Baloxavir marboxil,Asthenia,Serious,2,89,baloxavir marboxil,"baloxavir marboxil, Zanamivir, Peramivir, Oseltamivir"
Baloxavir marboxil,Back pain,Serious,1.4,93,baloxavir marboxil,"baloxavir marboxil, Zanamivir, Peramivir, Oseltamivir"
Baloxavir marboxil,Diarrhoea,Serious,2,179,baloxavir marboxil,"baloxavir marboxil, Zanamivir, Peramivir, Oseltamivir"
Baloxavir marboxil,Dizziness,Serious,2,169,baloxavir marboxil,"baloxavir marboxil, Zanamivir, Peramivir, Oseltamivir"
Baloxavir marboxil,Drug ineffective,Serious,0,319,baloxavir marboxil,"baloxavir marboxil, Zanamivir, Peramivir, Oseltamivir"
Baloxavir marboxil,Drug interaction,Serious,0,89,baloxavir marboxil,"baloxavir marboxil, Zanamivir, Peramivir, Oseltamivir"
Baloxavir marboxil,Headache,Serious,2,208,baloxavir marboxil,"baloxavir marboxil, Zanamivir, Peramivir, Oseltamivir"
Baloxavir marboxil,Nausea,Serious,2,239,baloxavir marboxil,"baloxavir marboxil, Zanamivir, Peramivir, Oseltamivir"
Baloxavir marboxil,Off label use,Non-Serious,0,151,baloxavir marboxil,"baloxavir marboxil, Zanamivir, Peramivir, Oseltamivir"
Baloxavir marboxil,Pain,Serious,1.8,179,baloxavir marboxil,"baloxavir marboxil, Zanamivir, Peramivir, Oseltamivir"
Baloxavir marboxil,Pyrexia,Serious,1.8,165,baloxavir marboxil,"baloxavir marboxil, Zanamivir, Peramivir, Oseltamivir"
Baloxavir marboxil,Rash,Non-Serious,0,146,baloxavir marboxil,"baloxavir marboxil, Zanamivir, Peramivir, Oseltamivir"
Baloxavir marboxil,Vomiting,Serious,2,202,baloxavir marboxil,"baloxavir marboxil, Zanamivir, Peramivir, Oseltamivir"
Budesonide,Anaemia,Serious,0.2,234,"budesonide (11.beta.,16.alpha.(S))","Albuterol , budesonide , formoterol , glycopyrronium"
Budesonide,Arthralgia,Serious,0.6,418,"budesonide (11.beta.,16.alpha.(S))","Albuterol , budesonide , formoterol , glycopyrronium"
Budesonide,Asthenia,Serious,0,342,"budesonide (11.beta.,16.alpha.(S))","Albuterol , budesonide , formoterol , glycopyrronium"
Budesonide,Diarrhoea,Serious,0.6,602,"budesonide (11.beta.,16.alpha.(S))","Albuterol , budesonide , formoterol , glycopyrronium"
Budesonide,Dizziness,Serious,0.3,380,"budesonide (11.beta.,16.alpha.(S))","Albuterol , budesonide , formoterol , glycopyrronium"
Budesonide,Drug ineffective,Serious,0.2,593,"budesonide (11.beta.,16.alpha.(S))","Albuterol , budesonide , formoterol , glycopyrronium"
Budesonide,Dyspnoea,Serious,0.3,609,"budesonide (11.beta.,16.alpha.(S))","Albuterol , budesonide , formoterol , glycopyrronium"
Budesonide,Fall,Serious,0.6,337,"budesonide (11.beta.,16.alpha.(S))","Albuterol , budesonide , formoterol , glycopyrronium"
Budesonide,Fatigue,Serious,0.6,601,"budesonide (11.beta.,16.alpha.(S))","Albuterol , budesonide , formoterol , glycopyrronium"
Budesonide,Headache,Serious,0.2,436,"budesonide (11.beta.,16.alpha.(S))","Albuterol , budesonide , formoterol , glycopyrronium"
Budesonide,Malaise,Serious,0.2,338,"budesonide (11.beta.,16.alpha.(S))","Albuterol , budesonide , formoterol , glycopyrronium"
Budesonide,Nausea,Serious,0,572,"budesonide (11.beta.,16.alpha.(S))","Albuterol , budesonide , formoterol , glycopyrronium"
Budesonide,Off label use,Serious,0.5,290,"budesonide (11.beta.,16.alpha.(S))","Albuterol , budesonide , formoterol , glycopyrronium"
Budesonide,Pain,Serious,0.6,400,"budesonide (11.beta.,16.alpha.(S))","Albuterol , budesonide , formoterol , glycopyrronium"
Budesonide,Pneumonia,Serious,0.6,362,"budesonide (11.beta.,16.alpha.(S))","Albuterol , budesonide , formoterol , glycopyrronium"
Budesonide,Pyrexia,Serious,0.2,378,"budesonide (11.beta.,16.alpha.(S))","Albuterol , budesonide , formoterol , glycopyrronium"
Budesonide,Vomiting,Serious,0.2,422,"budesonide (11.beta.,16.alpha.(S))","Albuterol , budesonide , formoterol , glycopyrronium"
Bupropion,Anxiety,Serious,0.2,442,bupropion hydrochloride,"bupropion , dextromethorphan , naltrexone"
Bupropion,Depression,Serious,0,367,bupropion hydrochloride,"bupropion , dextromethorphan , naltrexone"
Bupropion,Diarrhoea,Non-Serious,0,496,bupropion hydrochloride,"bupropion , dextromethorphan , naltrexone"
Bupropion,Dizziness,Serious,0,407,bupropion hydrochloride,"bupropion , dextromethorphan , naltrexone"
Bupropion,Drug abuse,Serious,0.2,450,bupropion hydrochloride,"bupropion , dextromethorphan , naltrexone"
Bupropion,Drug ineffective,Serious,0,803,bupropion hydrochloride,"bupropion , dextromethorphan , naltrexone"
Bupropion,Drug interaction,Serious,0.2,374,bupropion hydrochloride,"bupropion , dextromethorphan , naltrexone"
Bupropion,Dyspnoea,Serious,0.2,615,bupropion hydrochloride,"bupropion , dextromethorphan , naltrexone"
Bupropion,Fall,Serious,0,376,bupropion hydrochloride,"bupropion , dextromethorphan , naltrexone"
Bupropion,Fatigue,Serious,0,556,bupropion hydrochloride,"bupropion , dextromethorphan , naltrexone"
Bupropion,Headache,Non-Serious,0,479,bupropion hydrochloride,"bupropion , dextromethorphan , naltrexone"
Bupropion,Insomnia,Serious,0.2,447,bupropion hydrochloride,"bupropion , dextromethorphan , naltrexone"
Bupropion,Nausea,Serious,0.2,562,bupropion hydrochloride,"bupropion , dextromethorphan , naltrexone"
Bupropion,Pain,Serious,0,407,bupropion hydrochloride,"bupropion , dextromethorphan , naltrexone"
Bupropion,Toxicity to various agents,Serious,0.4,604,bupropion hydrochloride,"bupropion , dextromethorphan , naltrexone"
Buspirone,Anxiety,Serious,0,442,buspirone hydrochloride,"buspirone,  buspirone hydrochloride , Alprazolam"
Buspirone,Depression,Serious,0.2,367,buspirone hydrochloride,"buspirone,  buspirone hydrochloride , Alprazolam"
Buspirone,Diarrhoea,Non-Serious,0,496,buspirone hydrochloride,"buspirone,  buspirone hydrochloride , Alprazolam"
Buspirone,Dizziness,Non-Serious,0,407,buspirone hydrochloride,"buspirone,  buspirone hydrochloride , Alprazolam"
Buspirone,Drug abuse,Serious,0.4,450,buspirone hydrochloride,"buspirone,  buspirone hydrochloride , Alprazolam"
Buspirone,Drug ineffective,Serious,0.4,803,buspirone hydrochloride,"buspirone,  buspirone hydrochloride , Alprazolam"
Buspirone,Drug interaction,Serious,0.2,374,buspirone hydrochloride,"buspirone,  buspirone hydrochloride , Alprazolam"
Buspirone,Dyspnoea,Non-Serious,0,615,buspirone hydrochloride,"buspirone,  buspirone hydrochloride , Alprazolam"
Buspirone,Fall,Serious,0.2,376,buspirone hydrochloride,"buspirone,  buspirone hydrochloride , Alprazolam"
Buspirone,Fatigue,Non-Serious,0,556,buspirone hydrochloride,"buspirone,  buspirone hydrochloride , Alprazolam"
Buspirone,Headache,Non-Serious,0,479,buspirone hydrochloride,"buspirone,  buspirone hydrochloride , Alprazolam"
Buspirone,Insomnia,Serious,0.1,447,buspirone hydrochloride,"buspirone,  buspirone hydrochloride , Alprazolam"
Buspirone,Nausea,Non-Serious,0,562,buspirone hydrochloride,"buspirone,  buspirone hydrochloride , Alprazolam"
Buspirone,Pain,Serious,0,407,buspirone hydrochloride,"buspirone,  buspirone hydrochloride , Alprazolam"
Buspirone,Toxicity to various agents,Serious,0.4,604,buspirone hydrochloride,"buspirone,  buspirone hydrochloride , Alprazolam"
Calcitonin,Arthralgia,Serious,0.4,408,calcitonin,"calcitonin         , Alendronate"
Calcitonin,Asthenia,Serious,0,421,calcitonin,"calcitonin         , Alendronate"
Calcitonin,Diarrhoea,Serious,0,562,calcitonin,"calcitonin         , Alendronate"
Calcitonin,Dizziness,Serious,0,488,calcitonin,"calcitonin         , Alendronate"
