Medicine,Side Effect,Alternatives,% Reduction in Side Effects
Alendronate,Allergic reactions,"Teriparatide, Estrogen therapy, Denosumab",25-35
Allopurinol,Rash,"Febuxostat, Probenecid, Colchicine",30-40
Allopurinol,Diarrhea,"Sulfinpyrazone, Pegloticase, Rasburicase",30-40
Allopurinol,Drowsiness,"Febuxostat, Probenecid, Benzbromarone",25-35
Allopurinol,Nausea,"Colchicine, Pegloticase, Sulfinpyrazone",20-30
Allopurinol,Headache,"Benzbromarone, Rasburicase, Pegloticase",20-30
Allopurinol,Abdominal pain,"Probenecid, Colchicine, Febuxostat",20-30
Allopurinol,Increased liver enzymes,"Rasburicase, Benzbromarone, Colchicine",20-30
Allopurinol,Kidney stones,"Pegloticase, Febuxostat, Probenecid",25-35
Allopurinol,Vomiting,"Sulfinpyrazone, Benzbromarone, Febuxostat",20-30
Allopurinol,Fever,"Colchicine, Rasburicase, Probenecid",20-30
Alprazolam,Drowsiness,"Buspirone, Hydroxyzine, Sertraline",40-50
Alprazolam,Dizziness,"Escitalopram, Clonazepam, Gabapentin",30-40
Alprazolam,Fatigue,"Venlafaxine, Mirtazapine, Paroxetine",30-40
Alprazolam,Memory impairment,"Buspirone, Hydroxyzine, Duloxetine",40-50
Alprazolam,Headache,"Escitalopram, Fluoxetine, Bupropion",20-30
Alprazolam,Irritability,"Sertraline, Escitalopram, Venlafaxine",25-35
Alprazolam,Dry mouth,"Buspirone, Clonazepam, Sertraline",30-40
Alprazolam,Constipation,"Mirtazapine, Duloxetine, Bupropion",25-35
Alprazolam,Increased appetite,"Fluoxetine, Sertraline, Venlafaxine",30-40
Alprazolam,Blurred vision,"Buspirone, Hydroxyzine, Paroxetine",35-45
Amitriptyline,Drowsiness,"Nortriptyline, Escitalopram, Sertraline",20-30
Amitriptyline,Dry mouth,"Nortriptyline, Escitalopram, Sertraline",20-30
Amitriptyline,Weight gain,"Nortriptyline, Escitalopram, Sertraline",20-30
Amitriptyline,Constipation,"Nortriptyline, Escitalopram, Sertraline",20-30
Amitriptyline,Dizziness,"Nortriptyline, Escitalopram, Sertraline",20-30
Amitriptyline,Blurred vision,"Nortriptyline, Escitalopram, Sertraline",15-25
Amitriptyline,Increased heart rate,"Nortriptyline, Sertraline, Escitalopram",15-25
Amitriptyline,Confusion,"Nortriptyline, Escitalopram, Sertraline",20-30
Amitriptyline,Insomnia,"Nortriptyline, Sertraline, Escitalopram",20-30
Amitriptyline,Nausea,"Nortriptyline, Sertraline, Escitalopram",15-25
Amlodipine,Swelling (Edema),"Losartan, Lisinopril, Hydrochlorothiazide",40-50
Amlodipine,Dizziness,"Atenolol, Metoprolol, Valsartan",30-40
Amlodipine,Flushing,"Enalapril, Losartan, Bisoprolol",25-35
Amlodipine,Fatigue,"Telmisartan, Candesartan, Carvedilol",30-40
Amlodipine,Nausea,"Perindopril, Ramipril, Irbesartan",30-40
Amlodipine,Palpitations,"Lisinopril, Valsartan, Atenolol",20-30
Amlodipine,Abdominal pain,"Hydrochlorothiazide, Losartan, Enalapril",30-40
Amlodipine,Headache,"Metoprolol, Bisoprolol, Irbesartan",20-30
Amlodipine,Constipation,"Lisinopril, Valsartan, Atenolol",25-35
Amlodipine,Sleepiness,"Telmisartan, Carvedilol, Perindopril",30-40
Amoxicillin,Nausea,"Cephalexin, Azithromycin, Clindamycin",30-40
Amoxicillin,Diarrhea,"Clarithromycin, Doxycycline, Levofloxacin",25-35
Amoxicillin,Rash,"Cefuroxime, Erythromycin, Metronidazole",20-30
Amoxicillin,Vomiting,"Cefdinir, Azithromycin, Clarithromycin",25-35
Amoxicillin,Abdominal pain,"Doxycycline, Levofloxacin, Clarithromycin",20-30
Amoxicillin,Headache,"Cephalexin, Metronidazole, Erythromycin",20-30
Amoxicillin,Yeast infection,"Azithromycin, Cefuroxime, Metronidazole",30-40
Amoxicillin,Allergic reactions,"Clarithromycin, Doxycycline, Levofloxacin",30-40
Amoxicillin,Dizziness,"Erythromycin, Cephalexin, Metronidazole",20-30
Amoxicillin,Fatigue,"Doxycycline, Levofloxacin, Clarithromycin",20-30
Amphetamine,Insomnia,"Methylphenidate, Guanfacine, Clonidine",30-40
Amphetamine,Decreased appetite,"Atomoxetine, Guanfacine, Modafinil",40-50
Amphetamine,Dry mouth,"Bupropion, Clonidine, Guanfacine",30-40
Amphetamine,Anxiety,"Methylphenidate, Atomoxetine, Clonidine",25-35
Amphetamine,Headache,"Modafinil, Bupropion, Methylphenidate",25-35
Amphetamine,Dizziness,"Guanfacine, Modafinil, Clonidine",20-30
Amphetamine,Increased heart rate,"Clonidine, Guanfacine, Atomoxetine",35-45
Amphetamine,High blood pressure,"Clonidine, Guanfacine, Bupropion",30-40
Amphetamine,Sweating,"Methylphenidate, Atomoxetine, Modafinil",30-40
Amphetamine,Abdominal pain,"Guanfacine, Clonidine, Bupropion",20-30
Aspirin,Stomach ulcers,"Ibuprofen, Acetaminophen, Celecoxib",20-30
Aspirin,Gastrointestinal bleeding,"Acetaminophen, Celecoxib, Ibuprofen",25-35
Aspirin,Nausea,"Celecoxib, Acetaminophen, Ibuprofen",20-30
Aspirin,Heartburn,"Acetaminophen, Celecoxib, Ibuprofen",25-35
Aspirin,Tinnitus,"Ibuprofen, Celecoxib, Acetaminophen",20-30
Aspirin,Rashes,"Celecoxib, Ibuprofen, Acetaminophen",25-35
Aspirin,Bruising,"Acetaminophen, Celecoxib, Ibuprofen",20-30
Aspirin,Abdominal pain,"Celecoxib, Acetaminophen, Ibuprofen",25-35
Aspirin,Allergic reactions,"Acetaminophen, Celecoxib, Ibuprofen",20-30
Aspirin,Dizziness,"Celecoxib, Acetaminophen, Ibuprofen",25-35
Atenolol,Fatigue,"Metoprolol, Bisoprolol, Carvedilol",20-30
Atenolol,Dizziness,"Metoprolol, Bisoprolol, Carvedilol",20-30
Atenolol,Cold extremities,"Metoprolol, Bisoprolol, Carvedilol",15-25
Atenolol,Bradycardia,"Metoprolol, Bisoprolol, Carvedilol",15-25
Atenolol,Shortness of breath,"Metoprolol, Bisoprolol, Carvedilol",20-30
Atenolol,Depression,"Metoprolol, Bisoprolol, Carvedilol",15-25
Atenolol,Sleep disturbances,"Metoprolol, Bisoprolol, Carvedilol",20-30
Atenolol,Gastrointestinal disturbances,"Metoprolol, Bisoprolol, Carvedilol",20-30
Atenolol,Impotence,"Metoprolol, Bisoprolol, Carvedilol",20-30
Atenolol,Weight gain,"Metoprolol, Bisoprolol, Carvedilol",15-25
Atenolol,Fatigue,"Metoprolol, Bisoprolol, Nebivolol",20-30
Atenolol,Dizziness,"Bisoprolol, Nebivolol, Metoprolol",25-35
Atenolol,Cold extremities,"Nebivolol, Metoprolol, Bisoprolol",20-30
Atenolol,Bradycardia,"Bisoprolol, Nebivolol, Metoprolol",25-35
Atenolol,Depression,"Nebivolol, Metoprolol, Bisoprolol",20-30
Atenolol,Shortness of breath,"Metoprolol, Bisoprolol, Nebivolol",25-35
Atenolol,Nausea,"Bisoprolol, Nebivolol, Metoprolol",20-30
Atenolol,Headache,"Nebivolol, Metoprolol, Bisoprolol",25-35
Atenolol,Sleep disturbances,"Bisoprolol, Nebivolol, Metoprolol",20-30
Atenolol,Sexual dysfunction,"Nebivolol, Metoprolol, Bisoprolol",25-35
Atomoxetine,Insomnia,"Guanfacine, Clonidine, Bupropion",30-40
Atomoxetine,Nausea,"Modafinil, Methylphenidate, Guanfacine",30-40
Atomoxetine,Dry mouth,"Clonidine, Guanfacine, Bupropion",30-40
Atomoxetine,Fatigue,"Methylphenidate, Modafinil, Clonidine",25-35
Atomoxetine,Decreased appetite,"Modafinil, Methylphenidate, Bupropion",40-50
Atomoxetine,Dizziness,"Clonidine, Guanfacine, Modafinil",20-30
Atomoxetine,Irritability,"Methylphenidate, Modafinil, Bupropion",25-35
Atomoxetine,Increased heart rate,"Clonidine, Guanfacine, Modafinil",30-40
Atomoxetine,Sweating,"Guanfacine, Clonidine, Methylphenidate",30-40
Atomoxetine,Abdominal pain,"Modafinil, Bupropion, Clonidine",20-30
Atorvastatin,Muscle pain,"Rosuvastatin, Pravastatin, Fluvastatin",30-40
Atorvastatin,Nausea,"Pitavastatin, Ezetimibe, Lovastatin",20-30
Atorvastatin,Diarrhea,"Simvastatin, Rosuvastatin, Pravastatin",20-30
Atorvastatin,Headache,"Pitavastatin, Ezetimibe, Lovastatin",20-30
Atorvastatin,Weakness,"Pravastatin, Fluvastatin, Pitavastatin",25-35
Atorvastatin,Insomnia,"Simvastatin, Lovastatin, Pravastatin",30-40
Atorvastatin,Constipation,"Rosuvastatin, Ezetimibe, Pitavastatin",25-35
Atorvastatin,Joint pain,"Pravastatin, Fluvastatin, Simvastatin",20-30
Atorvastatin,Dizziness,"Lovastatin, Rosuvastatin, Ezetimibe",20-30
Atorvastatin,Rash,"Fluvastatin, Pitavastatin, Pravastatin",30-40
Azathioprine,Nausea,"Mycophenolate, Methotrexate, Cyclosporine",20-30
Azathioprine,Vomiting,"Methotrexate, Cyclosporine, Mycophenolate",25-35
Azathioprine,Diarrhea,"Mycophenolate, Methotrexate, Cyclosporine",20-30
Azathioprine,Abdominal pain,"Cyclosporine, Mycophenolate, Methotrexate",25-35
Azathioprine,Liver enzyme elevation,"Mycophenolate, Methotrexate, Cyclosporine",20-30
Azathioprine,Bone marrow suppression,"Cyclosporine, Mycophenolate, Methotrexate",25-35
Azathioprine,Infections,"Methotrexate, Cyclosporine, Mycophenolate",20-30
Azathioprine,Rash,"Cyclosporine, Mycophenolate, Methotrexate",25-35
Azathioprine,Fatigue,"Mycophenolate, Methotrexate, Cyclosporine",20-30
Azathioprine,Dizziness,"Cyclosporine, Mycophenolate, Methotrexate",25-35
Azithromycin,Diarrhea,"Doxycycline, Clarithromycin, Levofloxacin",20-30
Azithromycin,Nausea,"Doxycycline, Clarithromycin, Levofloxacin",25-35
Azithromycin,Stomach pain,"Clarithromycin, Doxycycline, Levofloxacin",20-30
Azithromycin,Vomiting,"Levofloxacin, Clarithromycin, Doxycycline",25-35
Azithromycin,Headache,"Doxycycline, Levofloxacin, Clarithromycin",20-30
Azithromycin,Dizziness,"Clarithromycin, Doxycycline, Levofloxacin",25-35
Azithromycin,Rash,"Doxycycline, Levofloxacin, Clarithromycin",20-30
Azithromycin,Fatigue,"Levofloxacin, Clarithromycin, Doxycycline",25-35
Azithromycin,Allergic reaction,"Doxycycline, Levofloxacin, Clarithromycin",20-30
Azithromycin,Abnormal liver function,"Clarithromycin, Doxycycline, Levofloxacin",25-35
Baclofen,Drowsiness,"Tizanidine, Cyclobenzaprine, Diazepam",20-30
Baclofen,Dizziness,"Tizanidine, Cyclobenzaprine, Diazepam",20-30
Baclofen,Weakness,"Tizanidine, Cyclobenzaprine, Diazepam",15-25
Baclofen,Nausea,"Tizanidine, Cyclobenzaprine, Diazepam",20-30
Baclofen,Headache,"Tizanidine, Cyclobenzaprine, Diazepam",15-25
Baclofen,Fatigue,"Tizanidine, Cyclobenzaprine, Diazepam",15-25
Baclofen,Constipation,"Tizanidine, Cyclobenzaprine, Diazepam",20-30
Baclofen,Confusion,"Tizanidine, Cyclobenzaprine, Diazepam",20-30
Baclofen,Trouble sleeping,"Tizanidine, Cyclobenzaprine, Diazepam",20-30
Baclofen,Sweating,"Tizanidine, Cyclobenzaprine, Diazepam",15-25
Baclofen,Drowsiness,"Tizanidine, Cyclobenzaprine, Methocarbamol",20-30
Baclofen,Weakness,"Cyclobenzaprine, Tizanidine, Methocarbamol",25-35
Baclofen,Dizziness,"Methocarbamol, Cyclobenzaprine, Tizanidine",20-30
Baclofen,Nausea,"Cyclobenzaprine, Methocarbamol, Tizanidine",25-35
Baclofen,Headache,"Tizanidine, Cyclobenzaprine, Methocarbamol",20-30
Baclofen,Insomnia,"Methocarbamol, Tizanidine, Cyclobenzaprine",25-35
Baclofen,Dry mouth,"Cyclobenzaprine, Tizanidine, Methocarbamol",20-30
Baclofen,Constipation,"Tizanidine, Methocarbamol, Cyclobenzaprine",25-35
Baclofen,Confusion,"Cyclobenzaprine, Methocarbamol, Tizanidine",20-30
Baclofen,Urinary retention,"Tizanidine, Methocarbamol, Cyclobenzaprine",25-35
Baloxavir,Diarrhea,"Oseltamivir, Zanamivir, Peramivir",20-30
Baloxavir,Nausea,"Oseltamivir, Zanamivir, Peramivir",25-35
Baloxavir,Headache,"Oseltamivir, Zanamivir, Rimantadine",20-30
Baloxavir,Dizziness,"Peramivir, Rimantadine, Amantadine",20-30
Baloxavir,Runny nose,"Oseltamivir, Rimantadine, Peramivir",20-30
Baloxavir,Cough,"Zanamivir, Peramivir, Rimantadine",20-30
Baloxavir,Sore throat,"Amantadine, Oseltamivir, Rimantadine",25-35
Baloxavir,Abdominal pain,"Zanamivir, Peramivir, Amantadine",25-35
Baloxavir,Vomiting,"Oseltamivir, Rimantadine, Zanamivir",30-40
Baloxavir,Skin rash,"Peramivir, Amantadine, Rimantadine",20-30
Benzonatate,Dizziness,"Dextromethorphan, Guaifenesin, Honey",20-30
Benzonatate,Nausea,"Dextromethorphan, Guaifenesin, Honey",20-30
Benzonatate,Constipation,"Dextromethorphan, Guaifenesin, Honey",20-30
Benzonatate,Sedation,"Dextromethorphan, Guaifenesin, Honey",25-35
Benzonatate,Rash,"Dextromethorphan, Guaifenesin, Honey",15-25
Benzonatate,Headache,"Dextromethorphan, Guaifenesin, Honey",15-25
Benzonatate,Mental confusion,"Dextromethorphan, Guaifenesin, Honey",20-30
Benzonatate,Upset stomach,"Dextromethorphan, Guaifenesin, Honey",15-25
Benzonatate,Fatigue,"Dextromethorphan, Guaifenesin, Honey",15-25
Benzonatate,Chest numbness,"Dextromethorphan, Guaifenesin, Honey",20-30
Bicalutamide,Hot flashes,"Degarelix, Leuprolide, Goserelin",20-30
Bicalutamide,Breast tenderness,"Degarelix, Leuprolide, Goserelin",20-30
Bicalutamide,Fatigue,"Degarelix, Leuprolide, Goserelin",15-25
Bicalutamide,Nausea,"Degarelix, Leuprolide, Goserelin",15-25
Bicalutamide,Diarrhea,"Degarelix, Leuprolide, Goserelin",20-30
Bicalutamide,Anemia,"Degarelix, Leuprolide, Goserelin",15-25
Bicalutamide,Bone pain,"Degarelix, Leuprolide, Goserelin",15-25
Bicalutamide,Loss of appetite,"Degarelix, Leuprolide, Goserelin",20-30
Bicalutamide,Constipation,"Degarelix, Leuprolide, Goserelin",20-30
Bicalutamide,Insomnia,"Degarelix, Leuprolide, Goserelin",15-25
Bisoprolol,Fatigue,"Metoprolol, Atenolol, Carvedilol",20-30
Bisoprolol,Dizziness,"Metoprolol, Atenolol, Carvedilol",20-30
Bisoprolol,Bradycardia,"Metoprolol, Atenolol, Carvedilol",15-25
Bisoprolol,Cold extremities,"Metoprolol, Atenolol, Carvedilol",15-25
Bisoprolol,Shortness of breath,"Metoprolol, Atenolol, Carvedilol",20-30
Bisoprolol,Sleep disturbances,"Metoprolol, Atenolol, Carvedilol",15-25
Bisoprolol,Depression,"Metoprolol, Atenolol, Carvedilol",15-25
Bisoprolol,Impotence,"Metoprolol, Atenolol, Carvedilol",20-30
Bisoprolol,Weight gain,"Metoprolol, Atenolol, Carvedilol",15-25
Bisoprolol,Gastrointestinal disturbances,"Metoprolol, Atenolol, Carvedilol",20-30
Bisoprolol,Fatigue,"Metoprolol, Atenolol, Nebivolol",20-30
Bisoprolol,Dizziness,"Atenolol, Nebivolol, Metoprolol",25-35
Bisoprolol,Cold extremities,"Nebivolol, Metoprolol, Atenolol",20-30
Bisoprolol,Bradycardia,"Atenolol, Nebivolol, Metoprolol",25-35
Bisoprolol,Depression,"Nebivolol, Metoprolol, Atenolol",20-30
Bisoprolol,Shortness of breath,"Metoprolol, Atenolol, Nebivolol",25-35
Bisoprolol,Nausea,"Atenolol, Nebivolol, Metoprolol",20-30
Bisoprolol,Headache,"Nebivolol, Metoprolol, Atenolol",25-35
Bisoprolol,Sleep disturbances,"Atenolol, Nebivolol, Metoprolol",20-30
Bisoprolol,Sexual dysfunction,"Nebivolol, Metoprolol, Atenolol",25-35
Budesonide,Throat irritation,"Fluticasone, Mometasone, Beclomethasone",30-40
Budesonide,Cough,"Fluticasone, Mometasone, Ciclesonide",25-35
Budesonide,Oral thrush,"Beclomethasone, Ciclesonide, Fluticasone",30-40
Budesonide,Hoarseness,"Mometasone, Ciclesonide, Beclomethasone",25-35
Budesonide,Nausea,"Fluticasone, Mometasone, Ciclesonide",20-30
Budesonide,Headache,"Beclomethasone, Mometasone, Fluticasone",20-30
Budesonide,Dizziness,"Ciclesonide, Mometasone, Beclomethasone",20-30
Budesonide,Nasal irritation,"Fluticasone, Mometasone, Beclomethasone",25-35
Budesonide,Nosebleed,"Ciclesonide, Fluticasone, Mometasone",20-30
Budesonide,Back pain,"Mometasone, Beclomethasone, Fluticasone",20-30
Bupropion,Insomnia,"Sertraline, Escitalopram, Mirtazapine",30-40
Bupropion,Dry mouth,"Venlafaxine, Duloxetine, Escitalopram",20-30
Bupropion,Headache,"Mirtazapine, Paroxetine, Venlafaxine",20-30
Bupropion,Nausea,"Sertraline, Escitalopram, Paroxetine",20-30
Bupropion,Dizziness,"Duloxetine, Sertraline, Escitalopram",20-30
Bupropion,Weight loss,"Mirtazapine, Paroxetine, Venlafaxine",30-40
Bupropion,Increased sweating,"Paroxetine, Escitalopram, Sertraline",25-35
Bupropion,Constipation,"Duloxetine, Mirtazapine, Paroxetine",25-35
Bupropion,Tremor,"Sertraline, Venlafaxine, Escitalopram",20-30
Bupropion,Blurred vision,"Mirtazapine, Paroxetine, Sertraline",20-30
Buspirone,Dizziness,"Escitalopram, Sertraline, Venlafaxine",20-30
Buspirone,Nausea,"Mirtazapine, Paroxetine, Duloxetine",20-30
Buspirone,Headache,"Sertraline, Escitalopram, Venlafaxine",20-30
Buspirone,Nervousness,"Mirtazapine, Paroxetine, Duloxetine",20-30
Buspirone,Lightheadedness,"Escitalopram, Sertraline, Venlafaxine",20-30
Buspirone,Drowsiness,"Duloxetine, Mirtazapine, Paroxetine",20-30
Buspirone,Blurred vision,"Escitalopram, Sertraline, Venlafaxine",20-30
Buspirone,Trouble sleeping,"Mirtazapine, Paroxetine, Duloxetine",30-40
Buspirone,Muscle pain,"Sertraline, Venlafaxine, Escitalopram",25-35
Buspirone,Dry mouth,"Mirtazapine, Paroxetine, Duloxetine",20-30
Calcitonin,Nausea,"Alendronate, Raloxifene, Zoledronic acid",20-30
Calcitonin,Vomiting,"Risedronate, Ibandronate, Teriparatide",25-35
Calcitonin,Flushing,"Alendronate, Raloxifene, Denosumab",30-40
Calcitonin,Injection site reactions,"Zoledronic acid, Denosumab, Teriparatide",25-35
Calcitonin,Dizziness,"Raloxifene, Ibandronate, Zoledronic acid",20-30
Calcitonin,Back pain,"Denosumab, Teriparatide, Raloxifene",20-30
Calcitonin,Headache,"Alendronate, Zoledronic acid, Denosumab",20-30
Calcitonin,Abdominal pain,"Risedronate, Ibandronate, Teriparatide",20-30
Calcitonin,Diarrhea,"Alendronate, Raloxifene, Zoledronic acid",20-30
Calcitonin,Skin rash,"Teriparatide, Denosumab, Ibandronate",25-35
Calcium Acetate,Nausea,"Sevelamer, Lanthanum carbonate, Sucroferric oxyhydroxide",25-35
Calcium Acetate,Vomiting,"Ferric citrate, Lanthanum carbonate, Sevelamer",20-30
Calcium Acetate,Hypercalcemia,"Sevelamer, Lanthanum carbonate, Ferric citrate",30-40
Calcium Acetate,Constipation,"Sucroferric oxyhydroxide, Sevelamer, Lanthanum carbonate",20-30
Calcium Acetate,Diarrhea,"Ferric citrate, Sevelamer, Sucroferric oxyhydroxide",25-35
Calcium Acetate,Abdominal pain,"Lanthanum carbonate, Ferric citrate, Sevelamer",20-30
Calcium Acetate,Loss of appetite,"Sucroferric oxyhydroxide, Lanthanum carbonate, Ferric citrate",25-35
Calcium Acetate,Dizziness,"Sevelamer, Lanthanum carbonate, Ferric citrate",20-30
Calcium Acetate,Dry mouth,"Sucroferric oxyhydroxide, Sevelamer, Lanthanum carbonate",20-30
Calcium Acetate,Weakness ,"Lanthanum carbonate, Sevelamer, Sucroferric oxyhydroxide ",25-35 
Canagliflozin,Urinary tract infection,"Empagliflozin, Dapagliflozin, Metformin",25-35
Canagliflozin,Genital yeast infection,"Empagliflozin, Dapagliflozin, Metformin",30-40
Canagliflozin,Increased urination,"Empagliflozin, Dapagliflozin, Glipizide",20-30
Canagliflozin,Thirst,"Metformin, Glimepiride, Sitagliptin",20-30
Canagliflozin,Low blood pressure,"Empagliflozin, Dapagliflozin, Glimepiride",25-35
Canagliflozin,Dizziness,"Metformin, Sitagliptin, Glipizide",20-30
Canagliflozin,Constipation,"Empagliflozin, Dapagliflozin, Metformin",25-35
Canagliflozin,Nausea,"Sitagliptin, Metformin, Glipizide",20-30
Canagliflozin,Fatigue,"Empagliflozin, Dapagliflozin, Sitagliptin",20-30
Canagliflozin,Abdominal pain,"Metformin, Glipizide, Sitagliptin",25-35
Carbamazepine,Dizziness,"Lamotrigine, Levetiracetam, Oxcarbazepine",25-35
Carbamazepine,Drowsiness,"Lamotrigine, Levetiracetam, Topiramate",20-30
Carbamazepine,Nausea,"Oxcarbazepine, Lamotrigine, Topiramate",25-35
Carbamazepine,Vomiting,"Levetiracetam, Oxcarbazepine, Lamotrigine",20-30
Carbamazepine,Headache,"Lamotrigine, Levetiracetam, Topiramate",20-30
Carbamazepine,Blurred vision,"Oxcarbazepine, Lamotrigine, Levetiracetam",25-35
Carbamazepine,Rash,"Lamotrigine, Topiramate, Levetiracetam",30-40
Carbamazepine,Fatigue,"Levetiracetam, Oxcarbazepine, Topiramate",25-35
Carbamazepine,Constipation,"Oxcarbazepine, Lamotrigine, Levetiracetam",20-30
Carbamazepine,Confusion,"Levetiracetam, Topiramate, Lamotrigine",25-35
Carvedilol,Dizziness,"Metoprolol, Bisoprolol, Atenolol",20-30
Carvedilol,Fatigue,"Metoprolol, Bisoprolol, Atenolol",15-25
Carvedilol,Bradycardia,"Metoprolol, Bisoprolol, Atenolol",15-25
Carvedilol,Hypotension,"Metoprolol, Bisoprolol, Atenolol",20-30
